idx,en,vn,word_type,word_type_vn
8899,heatstroke,say nắng,n,danh từ
8900,hebdomadal,hằng tuần,a,tính từ
8901,hebetic,tuổi thanh xuân,a,tính từ
8902,hebetude,"ngây dại, đần độn ",n,danh từ
8903,hebiatrics,bệnh học tuổi thanh xuân,n,danh từ
8904,hecatomeric,phân đôi,a,tính từ
8905,hectic,"sốt dai dẳng , sốt lao ",a,tính từ
8907,hectogram,hectogam,n,danh từ
8908,hectoliter,hectolit,n,danh từ
8909,hectometer,hectomet,n,danh từ
8910,hedonic,"khoái cảm, khoái lạc",a,tính từ
8911,hedonism,khoái lạc chủ nghĩa,n,danh từ
8912,hedonophobia,sợ khoái lạc,n,danh từ
8913,hedratresia,trít hậu môn,n,danh từ
8914,heel,gót chân,n,danh từ
8915,height,chiều cao,n,danh từ
8916,helcoid,dạng loét,a,tính từ
8917,helcology,"loét học, môn loét",n,danh từ
8918,helcoma,loét giác mạc,n,danh từ
8919,helcosis,hình thành loét,n,danh từ
8920,Heleidae,Muỗi mắt (Họ),n,danh từ
8921,helianthin,"heliantin, metyl da cam",n,danh từ
8922,heliation,liệu pháp ánh nắng,n,danh từ
8923,helical,hình xoắn ốc,a,tính từ
8924,Helicobacter,Helicobacter,n,danh từ
8925,helicoid,dạng (hình) xoắn ốc,a,tính từ
8926,helicotrema,khe tiền đình-màng nhĩ,n,danh từ
8927,heliencephalitis,viêm não do tia nắng,n,danh từ
8928,helioaerotherapy,liệu pháp ánh nắng không khí,n,danh từ
8929,heliophobia,sợ ánh nắng,n,danh từ
8930,heliosis,say nắng,n,danh từ
8931,heliotaxis,"tính hướng động ánh nắng, xu quang tính",n,danh từ
8932,heliotherapy,"liệu pháp ánh nắng,  (tắm nắng), nhật quang liệu pháp   ",n,danh từ
8933,heliotropism,hướng dương,n,danh từ
8934,helium,heli (He),n,danh từ
8935,helix,"luân tai, nhĩ luân; xoắn ốc ",n,danh từ
8936,hellebore,trị điên (cây); thiết khoái tử  (Helleborus),n,danh từ
8937,helminth,giun sán,n,danh từ
8938,helminthagogue,thuốc giun,"n,a","danh từ, tính từ"
8939,helminthemesis,nôn ra giun,n,danh từ
8940,helminthiasis,"giun , nhiễm giun  ",n,danh từ
8941,helminthic,"giun , do giun",a,tính từ
8942,helminthicide,diệt giun,n,danh từ
8943,helminthism,giun (hiện tượng có),n,danh từ
8944,helminthoid,dạng giun,a,tính từ
8945,helminthology,khoa giun sán,n,danh từ
8946,helminthoma,u giun,n,danh từ
8947,helminthous,giun,a,tính từ
8948,heloma,"chai (chân, tay)",n,danh từ
8949,helosis,chai (tình trạng ),n,danh từ
8950,helotomy,cắt chai,n,danh từ
8951,hema,"máu, huyết",n,danh từ
8952,hema-,"máu, huyết",pref.,tiền tố
8953,hemachrome,huyết sắc tố,n,danh từ
8954,hemacyte,"huyết tế bào, tế bào máu",n,danh từ
8955,hemacytometer,huyết tế bào kế,n,danh từ
8956,hemacytometry,đếm huyết tế bào,n,danh từ
8957,hemacytopoiesis,sinh huyết tế bào,n,danh từ
8958,hemaden,tuyến nội tiết,n,danh từ
8959,hemadostenosis,hẹp (tắt) mạch,n,danh từ
8960,hemadsorbent,hấp phụ hồng cầu,a,tính từ
8961,hemadsorption,hấp phụ hồng cầu,n,danh từ
8962,hemadynamometer,huyết áp kế,n,danh từ
8963,hemadynamometry,đo huyết áp,n,danh từ
8964,hemafacient,sinh huyết,a,tính từ
8965,hemafecia,"phân-máu, phẩn-huyết",n,danh từ
8966,hemagglutination,huyết ngưng kết (phản ứng)  (ngưng kết hồng cầu),n,danh từ
8967,hemagglutinative,"huyết ngưng , huyết ngưng kết ",a,tính từ
8968,hemagglutinin,huyết ngưng tố,n,danh từ
8969,hemagogic,"dẫn huyết, thúc huyết, điều kinh",a,tính từ
8971,hemanalysis,xét nghiệm máu,n,danh từ
8972,hemangiectasis,"giãn huyết quản , giãn mạch ",n,danh từ
8973,hemangioameloblastoma,u hỗn hợp nguyên bào tạo men răng và u mạch trong xương,n,danh từ
8974,hemangioblast,nguyên bào huyết quản,n,danh từ
8975,hemangioblastoma,u nguyên bào huyết quản,n,danh từ
8976,hemangioblastomatosis,u nguyên bào huyết quản,n,danh từ
8977,hemangioendothelioblastoma,u nguyên bào nội mô huyết quản,n,danh từ
8978,hemangioendothelioma,u nội mô huyết quản,n,danh từ
8979,hemangiofibroma,u huyết quản-xơ,n,danh từ
8980,hemangioma,u huyết quản,n,danh từ
8981,hemangiomatosis,u huyết quản,n,danh từ
8982,hemangiopericyte,"chu tế bào, tế bào quanh huyết quản",n,danh từ
8983,hemangiopericytoma,u tế bào quanh huyết quản,n,danh từ
8984,hemangiosarcoma,sacôm huyết quản,n,danh từ
8985,hemaphein,hemaphein,n,danh từ
8986,hemapheism,hemaphein-niệu,n,danh từ
8987,hemapheresis,khử trừ máu,n,danh từ
8988,hemapophysis,"sụn xương sườn,  gai bên-trước  (đốt sống)",n,danh từ
8989,hemarthrosis,tụ máu khớp,n,danh từ
8990,hemartoma,u huyết quản,n,danh từ
8991,hematal,"huyết , máu ; huyết quản ",a,tính từ
8992,hematapostema,áp xe máu,n,danh từ
8993,hematemesis,"nôn ra máu, thổ huyết",n,danh từ
8994,hematencephalon,xuất huyết não,n,danh từ
8995,hematidrosis,mồ hôi máu,n,danh từ
8996,hematin,hematin,n,danh từ
8997,hematinemia,hematin-huyết,n,danh từ
8998,hematinometer,"hemoglobin kế, huyết sắc tố kế",n,danh từ
8999,hematinuria,hematin-niệu,n,danh từ
9000,hematobilia,xuất huyết đường mật,n,danh từ
9001,hematoblast,nguyên huyết bào,n,danh từ
9002,hematocele,khối tụ máu; khối tụ máu tinh mạc,n,danh từ
9003,hematocephalus,thai nhi tràn huyết não,n,danh từ
9004,hematochezia,đại tiện phân máu,n,danh từ
9005,hematochyluria,huyết nhũ trấp-niệu,n,danh từ
9006,hematocoelia,tràn huyết màng bụng,n,danh từ
9007,hematocolpometra,tích kinh nguyệt âm đạo-tử cung,n,danh từ
9008,hematocolpos,tích kinh nguyệt âm đạo,n,danh từ
9009,hematocrit,hematocrit,n,danh từ
9010,hematocryal,máu lạnh,a,tính từ
9011,hematocyst,u nang máu;  tích huyết bàng quang,n,danh từ
9012,hematocyte,huyết tế bào,n,danh từ
9013,hematocytopenia,giảm huyết tế bào,n,danh từ
9014,hematocyturia,huyết tế bào-niệu,n,danh từ
9015,hematoencephalic,huyết và não,a,tính từ
9016,hematogenesis,sinh huyết,n,danh từ
9017,hematogenous,do từ máu; theo đường máu,a,tính từ
9018,hematoglobin,hemoglobin,n,danh từ
9019,hematoglobinuria,hemoglobin-niệu,n,danh từ
9020,hematogone,"nguyên bào máu, huyết nguyên bào",n,danh từ
9021,hematohyaloid,chất trong suốt của máu,n,danh từ
9022,hematoid,dạng huyết,a,tính từ
9023,hematoidin,hematoidin,n,danh từ
9024,hematologist,huyết học gia,n,danh từ
9025,hematology,huyết học,n,danh từ
9026,hematolymphangioma,u huyết bạch huyết,n,danh từ
9027,hematoma,"tụ huyết, bầm máu ",n,danh từ
9028,hematomanometer,huyết áp kế,n,danh từ
9029,hematomediastinum,tích huyết trung thất,n,danh từ
9030,hematometer,hemoglobin-kế,n,danh từ
9031,hematometra,tích huyết tử cung,n,danh từ
9032,hematomyelia,xuất huyết tủy sống,n,danh từ
9033,hematomyelitis,viêm tủy sống xuất huyết,n,danh từ
9034,hematomyelopore,hang tủy sống do xuất huyết,n,danh từ
9035,hematoncometry,đo dung tích máu,n,danh từ
9036,hematonephrosis,tích huyết bể thận,n,danh từ
9037,hematonic,thuốc bổ máu,n,danh từ
9038,hematopenia,thiếu máu,n,danh từ
9039,hematopiesis,huyết áp,n,danh từ
9040,hematoplastic,tạo huyết,a,tính từ
9041,hematopoietin,hematopoietin,n,danh từ
9042,hematoporphyrin,hematopocphyrin,n,danh từ
9043,hematoporphyrinemia,pocphyrin-huyết,n,danh từ
9044,hematoporphyrinism,pocphyrin-huyết nhậy cảm ánh nắng,n,danh từ
9045,hematoporphyrinuria,pocphyrin-niệu,n,danh từ
9046,hematorrhachis,xuất huyết ống sống,n,danh từ
9047,hematorrhea,"đại xuất huyết, xuất huyết nặng",n,danh từ
9048,hematosalpinx,tích huyết vòi tử cung,n,danh từ
9049,hematoscheocele,tích huyết bìu,n,danh từ
9050,hematoscope,huyết quang phổ (máy đo),n,danh từ
9051,hematosepsis,nhiễm khuẩn huyết,n,danh từ
9052,hematospectrophotometer,quang phổ kế hemoglobin,n,danh từ
9053,hematospectroscope,huyết quang phổ (máy đo),n,danh từ
9054,hematospectroscopy,xét nghiệm huyết quang phổ,n,danh từ
9055,hematospermatocele,u nang tinh dịch huyết,n,danh từ
9056,hematospherinemia,hemoglobin-huyết,n,danh từ
9057,hematostatic,"cầm máu, ứ máu",a,tính từ
9058,hematosteon,xuất huyết tủy xương,n,danh từ
9059,hematotoxic,"độc hại máu, độc hại cơ quan sinh huyết",a,tính từ
9060,hematotoxicosis,độc hại cơ quan sinh huyết,n,danh từ
9061,hematotrachelos,tích huyết cổ tử cung,n,danh từ
9062,hematotropic,"hướng huyết, hướng hồng cầu",a,tính từ
9063,hematotympanum,xuất huyết hòm nhĩ,n,danh từ
9064,hematozemia,"mất máu từ từ  , hao máu ",n,danh từ
9065,hematuria,huyết-niệu,n,danh từ
9066,hemautograph,biểu đồ tia máu,n,danh từ
9067,heme,hem,n,danh từ
9068,hemendothelioma,u nội mô huyết quản,n,danh từ
9069,hemeralope,mù ban ngày (người),a,tính từ
9070,hemeralopia,mù ban ngày,n,danh từ
9071,hemi-,"bán, nửa, một bên",pref.,tiền tố
9072,hemiacardius,quái thai nửa tim (một trong 2.song thai mà tim chỉ thực hiện phần tuần hoàn),n,danh từ
9073,hemiacephalus,quái thai thiếu não,n,danh từ
9074,hemiachromatopsia,bán manh màu,n,danh từ
9075,hemiageusia,mất vị giác nửa lưỡi,n,danh từ
9076,hemialbumose,hemianbumose,n,danh từ
9077,hemialbumosuria,hemianbumose-niệu,n,danh từ
9078,hemialgia,đau nửa người,n,danh từ
9079,hemiamyosthenia,nhược cơ nửa người,n,danh từ
9080,hemianacusia,điếc một tai,n,danh từ
9081,hemianalgesia,mất thống cảm nửa người,n,danh từ
9082,hemianencephaly,thiếu nửa não (dị tật),n,danh từ
9083,hemianesthesia,"mất cảm giác nửa người, gây tê nửa nguòi",n,danh từ
9084,hemianosmia,mất khứu giác một bên,n,danh từ
9085,hemiapraxia,mất dùng động tác một bên,n,danh từ
9086,hemiarthrosis,khớp bán động,n,danh từ
9087,hemiasynergia,mất đồng vận một bên,n,danh từ
9088,hemiataxia,mất điều hòa một bên,n,danh từ
9089,hemiathetosis,múa vờn một bên,n,danh từ
9090,hemiatrophy,teo một bên,n,danh từ
9091,hemiaxial,bán trục,a,tính từ
9092,hemiballism,múa vung một bên,n,danh từ
9093,hemibladder,nửa bàng quang (dị hình),n,danh từ
9094,hemiblock,bloc nửa tim,n,danh từ
9095,hemic,"huyết, máu ",a,tính từ
9096,hemicanities,bạc tóc nửa đầu,n,danh từ
9097,hemicardia,nửa tim (dị hình),n,danh từ
9098,hemicardius,nửa tim (dị tật),n,danh từ
9099,hemicellulose,hemicellulose,n,danh từ
9100,hemicentrum,nửa bên thân đốt sống,n,danh từ
9101,hemicephalia,thiếu não (dị tật),n,danh từ
9102,hemicephalus,thiếu não (dị tật),n,danh từ
9103,hemicerebrum,bán cầu não,n,danh từ
9104,hemichorea,múa giật nửa bên,n,danh từ
9105,hemichromatopsia,bán manh màu,n,danh từ
9106,hemichrome,hemichrom,n,danh từ
9107,hemichromosome,bán nhiễm sắc thể,n,danh từ
9108,hemicolectomy,cắt bỏ nữa kết tràng,n,danh từ
9109,hemicorporectomy,cắt bỏ nửa dưới thân,n,danh từ
9110,hemicorticectomy,cắt bỏ một phần vỏ não,n,danh từ
9111,hemicraniectomy,mở nửa sọ,n,danh từ
9112,hemicraniosis,dày xương sọ,n,danh từ
9113,hemidecortication,cắt bỏ nửa vỏ não,n,danh từ
9114,hemidesmosome,bán cầu nối gian bào,n,danh từ
9115,hemidiaphoresis,nhiều mồ hôi nửa thân,n,danh từ
9116,hemidiaphragm,nửa bên cơ hoành,n,danh từ
9117,hemidysergia,mất phối hợp vận động cơ bán thân,n,danh từ
9118,hemidysesthesia,loạn cảm giác bán thân,n,danh từ
9119,hemidystrophy,loạn dưỡng bán thân,n,danh từ
9120,hemiectromelia,giảm sản chi một bên (dị tật),n,danh từ
9121,hemiencephalus,quái thai thiếu bán cầu não,n,danh từ
9122,hemiepilepsy,động kinh bán thân,n,danh từ
9123,hemifacial,nửa mặt,a,tính từ
9124,hemigastrectomy,cắt bỏ nửa dạ dày,n,danh từ
9125,hemigeusia,mất vị giác nửa lưỡi,n,danh từ
9126,hemigigantism,phát dục khổng lồ bán thân  (hoặc một bên bộ phận),n,danh từ
9127,hemiglossal,nửa lưỡi,n,danh từ
9128,hemiglossectomy,cắt bỏ nửa lưỡi,n,danh từ
9129,hemiglossitis,viêm nửa lưỡi,n,danh từ
9130,hemignathia,thiếu nữa hàm dưới (dị tật),n,danh từ
9131,hemihepatectomy,cắt bỏ nửa gan,n,danh từ
9132,hemihidrosis,tiết mồ hôi một bên,n,danh từ
9133,hemihypalgesia,giảm cảm thống bán thân,n,danh từ
9134,hemihyperesthesia,"tăng cảm (quá mẫn) bán thân, ",n,danh từ
9135,hemihyperidrosis,nhiều mồ hôi nửa thân,n,danh từ
9136,hemihypermetria,quá duỗi một bên,n,danh từ
9137,hemihyperplasia,tăng sản một bên thân (hay một bên bộ phận),n,danh từ
9138,hemihypertonia,tăng trương lực cơ một bên,n,danh từ
9139,hemihypertrophy,"phì đại bán thân, phì đại một bộ phận",n,danh từ
9140,hemihypesthesia,giảm cảm giác bán thân,n,danh từ
9141,hemihypometria,giảm tầm động tác một bên,n,danh từ
9142,hemihypoplasia,giảm sản bán thân ( bán bộ phận),n,danh từ
9143,hemihypotonia,giảm trương lực bán thân,n,danh từ
9144,hemi-inattention,thiếu chú ý một bên,n,danh từ
9145,hemikaryon,nhân đơn bội,n,danh từ
9146,hemilaminectomy,cắt bỏ nửa đốt sống,n,danh từ
9147,hemilaryngectomy,cắt bỏ nửa thanh quản,n,danh từ
9148,hemilateral,một bên,a,tính từ
9149,hemilingual,một bên lưỡi,a,tính từ
9150,hemimacroglossia,to một bên lưỡi,n,danh từ
9151,hemimandibulectomy,cắt bỏ nửa hàm dưới,n,danh từ
9152,hemimaxillectomy,cắt bỏ nửa hàm trên,n,danh từ
9153,hemimelia,thiếu nửa ngoài chi (dị tật),n,danh từ
9154,hemimelus,thiếu nửa ngoài chi (người),n,danh từ
9155,heminephrectomy,cắt bỏ một phần thận,n,danh từ
9156,heminephroureterectomy,cắt bỏ một phần thận-niệu quản,n,danh từ
9157,hemiobesity,béo nửa thân,n,danh từ
9158,hemiopalgia,đau một bên đầu-mắt,n,danh từ
9159,hemiopia,bán manh,n,danh từ
9160,hemipagus,liên thai dính bên ngực,n,danh từ
9161,hemiparalysis,"liệt bán thân, bán thân bất toại",n,danh từ
9162,hemiparanesthesia,"gây tê một bên phần dưới thân , mất cảm giác một bên phần dưới thân",n,danh từ
9163,hemiparaplegia,liệt một bên phần dưới thân,n,danh từ
9164,hemiparesis,liệt nhẹ một bên,n,danh từ
9165,hemiparesthesia,dị cảm bán thân,n,danh từ
9166,hemiparetic,"liệt nhẹ một bên , (người)","n,a","danh từ, tính từ"
9167,hemiparkinsonism,Parkinson một bên,n,danh từ
9168,hemipelvectomy,cắt bỏ khớp chậu một bên,n,danh từ
9169,hemiphalangectomy,"cắt bỏ một phần đốt ngón (tay, chân) ",n,danh từ
9170,hemiplacenta,nửa rau thai,n,danh từ
9171,hemiprostatectomy,cắt bỏ nửa tiền liệt tuyến,n,danh từ
9172,hemipylorectomy,cắt bỏ một phần môn vị,n,danh từ
9173,hemirachischisis,nứt đốt sống không sa tủy (dị tật),n,danh từ
9174,hemisacralization,cùng hóa đốt sống một bên,n,danh từ
9175,hemiscotosis,bán manh,n,danh từ
9176,hemisection,cắt đôi,n,danh từ
9177,hemisectomy,cắt bỏ một chân răng,n,danh từ
9178,hemiseptum,nửa vách,n,danh từ
9179,hemisomus,quái thai bán thân (thân bất toàn),n,danh từ
9180,hemisotonic,huyết đẳng trương  (đẳng trương với máu),a,tính từ
9181,hemispasm,co thắt một bên,n,danh từ
9182,hemisphere,bán cầu,n,danh từ
9183,hemispherectomy,cắt bỏ bán cầu não,n,danh từ
9184,hemisphygmia,nửa mạch  (nhịp mạch gấp đôi nhịp tim),n,danh từ
9185,hemispore,bán bào tử,n,danh từ
9186,hemisyndrome,hội chứng một bên (tổn thương một bên cột sống),n,danh từ
9187,hemiterata,bán dị hình (người),n,danh từ
9188,hemiteratic,bán dị hình,a,tính từ
9189,hemitetany,tetani bán thân,n,danh từ
9190,hemithermoanesthesia,mất nhiệt giác bán thân,n,danh từ
9191,hemithorax,một bên ngực,n,danh từ
9192,hemithyroidectomy,cắt một bên tuyến giáp,n,danh từ
9193,hemitomias,một tinh hoàn (người),n,danh từ
9194,hemitoxin,bán độc tố,n,danh từ
9195,hemitremor,run một bên,n,danh từ
9196,hemivagotony,cường thần kinh phế-vị một bên,n,danh từ
9197,hemivertebra,nửa cột sống (quái hình) (nửa bên kém phát triển),n,danh từ
9198,hemizygosity,bán hợp tử (trạng thái),n,danh từ
9199,hemizygote,bán hợp tử (cá thể),n,danh từ
9200,hemizygous,bán hợp tử,a,tính từ
9201,hemoaccess,lỗ vào huyết quản,n,danh từ
9202,hemobilia,xuất huyết đường mật,n,danh từ
9203,hemobilinuria,urobilin huyết-niệu,n,danh từ
9204,hemoblastosis,tăng sinh mô sinh huyết,n,danh từ
9205,hemocholecyst,xuất huyết túi mật,n,danh từ
9206,hemocholecystitis,viêm túi mật xuất huyết,n,danh từ
9207,hemochorial,máu-đệm  (màng đệm nhận máu mẹ trực tiếp),a,tính từ
9208,hemochrome,"hemocrom, huyết sắc tố",n,danh từ
9209,hemochromogen,hemocromogen,n,danh từ
9210,hemochromometer,"huyết sắc kế, hemoglobin-kế",n,danh từ
9211,hemochromometry,đo hemoglobin huyết,n,danh từ
9212,hemocidal,diệt huyết tế bào,a,tính từ
9213,hemoclip,kẹp cầm máu (cái),n,danh từ
9214,hemocoagulin,"ngưng huyết tố, chất đông máu",n,danh từ
9215,hemocoelom,phần tim của khoang cơ thể,n,danh từ
9216,hemoconcentration,cô máu,n,danh từ
9217,hemoconia,bụi máu,n,danh từ
9218,hemoconiosis,bụi máu,n,danh từ
9219,hemocrinia,hocmon huyết,n,danh từ
9220,hemocryoscopy,nghiệm lạnh huyết,n,danh từ
9221,hemoculture,cấy máu,n,danh từ
9222,hemocyte,"huyết tế bào, huyết bào",n,danh từ
9223,hemocytoblast,huyết nguyên bào,n,danh từ
9224,hemocytoblastoma,u huyết nguyên bào,n,danh từ
9225,hemocytocatheresis,hủy hồng cầu,n,danh từ
9226,hemocytogenesis,"sinh (tạo) huyết tế bào, sinh huyết ",n,danh từ
9227,hemocytology,huyết tế bào học,n,danh từ
9228,hemocytoma,"u huyết tế bào, u huyết bào",n,danh từ
9229,hemocytometer,"huyết tế bào kế, phòng đếm tế bào máu",n,danh từ
9230,hemocytometry,đếm tế bào máu,n,danh từ
9231,hemocytopoiesis,"sinh huyết tế bào, sinh huyết  tạo huyết ",n,danh từ
9232,hemocytotripsis,nghiền huyết bào,n,danh từ
9233,hemodiagnosis,huyết chẩn đoán,n,danh từ
9234,hemodialysis,thấm tích máu,n,danh từ
9235,hemodialyzer," thấm tích máu (máy đo), thận nhân tạo",n,danh từ
9236,hemodiapedesis,xuất huyết qua da,n,danh từ
9237,hemodilution,loãng máu,n,danh từ
9238,hemodynamic,huyết động lực,a,tính từ
9239,hemodynamics,huyết động lực học,n,danh từ
9240,hemodynamometry,đo huyết áp,n,danh từ
9241,hemodystrophy,loạn dưỡng huyết,n,danh từ
9242,hemoendothelial,huyết-nội mô,a,tính từ
9243,hemofilter,lọc máu (máy đo),n,danh từ
9244,hemofiltration,lọc máu,n,danh từ
9245,hemoflagellate," trùng roi máu, huyết tiên mao trùng",n,danh từ
9246,hemofuscin,hemofucsin,n,danh từ
9247,hemoglobin,hemoglobin,n,danh từ
9248,hemoglobinemia,hemoglobin-huyết,n,danh từ
9249,hemoglobinocholia,hemoglobin-mật,n,danh từ
9250,hemoglobinogenous,sinh hemoglobin,a,tính từ
9251,hemoglobinolysis,phân giải hemoglobin,n,danh từ
9252,hemoglobinometer,hemoglobin kế,n,danh từ
9253,hemoglobinometry,đo hemoglobin,n,danh từ
9254,hemoglobinopathy,bệnh hemoglobin,n,danh từ
9255,hemoglobinorrhea,thoát hemoglobin,n,danh từ
9256,hemoglobinous,chứa hemoglobin,a,tính từ
9257,hemogram,huyết đồ,n,danh từ
9258,hemohistioblast,nguyên huyết bào,n,danh từ
9259,hemohydraulics,huyết thủy lực học,n,danh từ
9260,hemoid,dạng huyết,a,tính từ
9261,hemolymph,huyết-bạch huyết,n,danh từ
9262,hemolysate,sản vật dung huyết,n,danh từ
9263,hemolysin,dung huyết tố,n,danh từ
9264,hemolysophilic,ưa dung huyết tố,a,tính từ
9265,hemolyzable,có thể dung huyết,a,tính từ
9266,hemolyzation,dung huyết,n,danh từ
9267,hemomanometer,huyết áp kế,n,danh từ
9268,hemopathology,huyết bệnh học,n,danh từ
9269,hemopericardium,tích máu màng ngoài tim,n,danh từ
9270,hemoperitoneum,tích máu màng bụng,n,danh từ
9271,hemopexis,đông máu,n,danh từ
9272,hemophagocyte,thực huyết bào,n,danh từ
9274,hemophilia,"huyết hữu , ưa chảy máu ",n,danh từ
9275,hemophiliac,"huyết hữu (bệnh nhân), ưa chảy máu  (bệnh nhân)",n,danh từ
9276,hemophilioid,"dạng huyết hữu, dạng ưa chảy máu",a,tính từ
9277,hemophobia,sợ máu (ám),n,danh từ
9278,hemophoric,vận chuyển máu,a,tính từ
9279,hemophthisis,"thiếu máu, bần huyết ",n,danh từ
9280,hemopiezometer,huyết áp kế,n,danh từ
9281,hemopneumopericardium,tràn khí-huyết màng ngoài tim,n,danh từ
9282,hemopneumothorax,tràn khí-huyết màng phổi,n,danh từ
9283,hemopoietin,"hemopoietin, sinh hồng cầu tố",n,danh từ
9284,hemoposia,hút máu,n,danh từ
9285,hemoprecipitin,huyết ngưng kết tố,n,danh từ
9286,hemoproctia,xuất huyết trực tràng,n,danh từ
9287,hemoptysis,"khái huyết, ho ra máu",n,danh từ
9288,hemopyelectasis,giãn bể thận tích huyết,n,danh từ
9289,hemorheology,huyết lưu biến học,n,danh từ
9290,hemorrhagenic,gây xuất huyết,a,tính từ
9291,hemorrhagin,xuất huyết tố,n,danh từ
9292,hemorrhoid,trĩ,n,danh từ
9293,hemorrhoidal,trĩ,a,tính từ
9294,hemorrhoidectomy,cắt bỏ trĩ,n,danh từ
9295,hemorrhoidolysis,đốt trĩ,n,danh từ
9296,hemosiderin,hemosiderin,n,danh từ
9297,hemosiderinuria,hemosiderin-niệu,n,danh từ
9298,hemosiderosis,nhiễm hemosiderin,n,danh từ
9299,hemosozoic,kháng dung huyết,a,tính từ
9300,hemospermia,huyết tinh dịch,n,danh từ
9301,hemostasis,cầm máu,n,danh từ
9302,hemostat,"cầm máu (dụng cụ, thuốc)",n,danh từ
9303,hemostatic,"cầm máu ,  (thuốc)","n,a","danh từ, tính từ"
9304,hemotherapy,huyết liệu pháp,n,danh từ
9305,hemothorax,tích huyết màng phổi,n,danh từ
9306,hemothymia,"xung động giết người, khát máu (tâm trạng)",n,danh từ
9307,hemotoxin,độc tố dung huyết,n,danh từ
9308,hemozoic,huyết nguyên trùng,n,danh từ
9309,hemozoin,"hemozoin, sắc tố bệnh sốt rét",n,danh từ
9310,hemuresis,huyết-niệu,n,danh từ
9311,henbane,kỳ nham (cây),n,danh từ
9312,henogenesis,phát triển cá thể,n,danh từ
9313,henosis,khỏi bệnh,n,danh từ
9314,hepar,"gan, can",n,danh từ
9315,heparin,"heparin, can tố",n,danh từ
9316,heparinemia,heparin-huyết,n,danh từ
9317,heparinize,điều trị bằng heparin,v,động từ
9318,hepatalgia,đau gan,n,danh từ
9319,hepatatrophia,teo gan,n,danh từ
9320,hepatectomy,cắt bỏ gan,n,danh từ
9321,hepatic,"gan, can ",a,tính từ
9322,hepaticocholangiojejunostomy,mở thông túi mật-ống gan-hỗng tràng,n,danh từ
9323,hepaticocholedochostomy,mở thông ống gan-ống mật chủ,n,danh từ
9324,hepaticodochotomy,mở ống gan-ống mật chủ,n,danh từ
9325,hepaticoduodenostomy,mở thông ống gan-tá tràng,n,danh từ
9326,hepaticoenterostomy,mở thông ống gan-ruột,n,danh từ
9327,hepaticogastrostomy,mở thông ống gan-dạ dày,n,danh từ
9328,hepaticojejunostomy,mở thông ống gan-hỗng tràng,n,danh từ
9329,hepaticoliasis,bệnh giun Hepaticola,n,danh từ
9330,hepaticolithotomy,mở ống gan lấy sỏi,n,danh từ
9331,hepaticolithotripsy,nghiền sỏi ống gan,n,danh từ
9332,hepaticostomy,mở thông ống gan,n,danh từ
9333,hepaticotomy,mở ống gan,n,danh từ
9334,hepatin,glycogen,n,danh từ
9335,hepatism,tạng bệnh do gan,n,danh từ
9336,hepatitis,viêm gan,n,danh từ
9337,hepatization,can dạng hóa,n,danh từ
9338,hepatized,can dạng hóa,a,tính từ
9339,hepatobiliary,gan-mật ; gan-ống mật,a,tính từ
9340,hepatoblastoma,u nguyên bào gan,n,danh từ
9341,hepatobronchial,gan-phế quản,a,tính từ
9342,hepatocarcinogenesis,sinh caxinom gan,n,danh từ
9343,hepatocarcinogenic,gây caxinom gan,a,tính từ
9344,hepatocarcinoma,"caxinom gan, u gan",n,danh từ
9345,hepatocele,thoát vị gan,n,danh từ
9346,hepatocellular,tế bào gan,a,tính từ
9347,hepatocholangiocarcinoma,caxinom gan-ống mật,n,danh từ
9348,hepatocholangioduodenostomy,mở thông ống gan-tá tràng,n,danh từ
9349,hepatocholangioenterostomy,mở thông ống gan-tiểu tràng,n,danh từ
9350,hepatocholangiogastrostomy,mở thông ống gan-dạ dày,n,danh từ
9351,hepatocholangiostomy,mở thông ống gan  (dẫn lưu),n,danh từ
9352,hepatocholangitis,viêm gan-ống mật,n,danh từ
9353,hepatocirrhosis,xơ gan,n,danh từ
9354,hepatocolic,gan-kết tràng,a,tính từ
9355,hepatocuprein,cuprein gan,n,danh từ
9356,hepatocystic,gan-túi mật,a,tính từ
9357,hepatocyte,tế bào gan,n,danh từ
9358,hepatoduodenostomy,mở thông gan-tá tràng,n,danh từ
9359,hepatodynia,đau gan,n,danh từ
9360,hepatoenteric,gan-ruột,a,tính từ
9361,hepatoenterostomy,mở thông gan-ruột,n,danh từ
9362,hepatofugal,lìa gan,a,tính từ
9363,hepatogastric,gan-dạ dày,a,tính từ
9365,hepatogenous,do gan,a,tính từ
9366,hepatoid,dạng gan,a,tính từ
9367,hepatojugular,gan-tĩnh mạch cảnh,a,tính từ
9368,hepatolenticular,gan-nhân đậu,a,tính từ
9369,hepatolienal,gan-lách,a,tính từ
9370,hepatolienography,chụp gan lách,n,danh từ
9371,hepatolienomegaly,to gan lách,n,danh từ
9372,hepatolith,sỏi gan,n,danh từ
9373,hepatolithectomy,lấy sỏi gan,n,danh từ
9374,hepatolithiasis,sỏi gan,n,danh từ
9375,hepatologist,bệnh học gan (chuyên gia ),n,danh từ
9376,hepatology,bệnh học gan,n,danh từ
9377,hepatolysin,dung tố gan,n,danh từ
9378,hepatoma,u gan,n,danh từ
9379,hepatomalacia,nhuyễn gan,n,danh từ
9380,hepatomegaly,gan to,n,danh từ
9381,hepatomelanosis,melanin gan,n,danh từ
